AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 02.07.2020 at 17:32:17 Compatible with AeroDyn v13.0.
Polar "T1_Re0.200_M0.00_N9.0 360 M" on Foil "T1_Re0.200_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
16.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.00          Angle of attack for zero Cn for linear Cn curve (deg)
6.05352        Cn slope for zero lift for linear Cn curve (1/rad)
0.9115         Cn at stall value for positive angle of attack for linear Cn curve
-0.9118        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0120         Minimum CD value
    -35.00   -0.7581    0.5544
    -34.00   -0.7465    0.5272
    -33.00   -0.7341    0.5003
    -32.00   -0.7211    0.4738
    -31.00   -0.7074    0.4478
    -30.00   -0.6931    0.4223
    -29.00   -0.6782    0.3972
    -28.00   -0.6628    0.3727
    -27.00   -0.6469    0.3487
    -26.00   -0.6306    0.3253
    -25.00   -0.6140    0.3025
    -24.00   -0.5971    0.2804
    -23.00   -0.5802    0.2588
    -22.00   -0.5634    0.2380
    -21.00   -0.5470    0.2178
    -20.00   -0.6916    0.2223
    -18.00   -1.0811    0.0930
    -17.00   -1.1613    0.0691
    -16.00   -1.1708    0.0566
    -15.00   -1.1679    0.0469
    -14.00   -1.1452    0.0394
    -13.00   -1.1202    0.0338
    -12.00   -1.0788    0.0291
    -11.00   -1.0395    0.0255
    -10.00   -1.0188    0.0231
     -9.00   -0.9972    0.0211
     -8.00   -0.9649    0.0195
     -7.00   -0.9164    0.0182
     -6.00   -0.7610    0.0171
     -4.00   -0.4549    0.0147
     -2.00   -0.2110    0.0127
     -1.00   -0.1055    0.0122
      0.00    0.0000    0.0120
      1.00    0.1055    0.0122
      2.00    0.2110    0.0127
      3.00    0.3242    0.0136
      4.00    0.4549    0.0147
      6.00    0.7611    0.0171
      7.00    0.9161    0.0182
      8.00    0.9647    0.0195
      9.00    0.9971    0.0211
     10.00    1.0191    0.0231
     11.00    1.0402    0.0255
     12.00    1.0800    0.0291
     13.00    1.1216    0.0338
     14.00    1.1475    0.0393
     15.00    1.1704    0.0469
     16.00    1.1743    0.0565
     17.00    1.1647    0.0691
     18.00    1.0852    0.0929
     19.00    0.9167    0.1432
     20.00    0.8596    0.1670
     21.00    0.8169    0.1908
     22.00    0.7863    0.2147
     23.00    0.7654    0.2387
     24.00    0.7520    0.2629
     25.00    0.7445    0.2873
     26.00    0.7413    0.3119
     27.00    0.7416    0.3369
     28.00    0.7443    0.3622
     29.00    0.7488    0.3879
     30.00    0.7546    0.4139
     31.00    0.7613    0.4403
     32.00    0.7685    0.4671
     33.00    0.7761    0.4942
     34.00    0.7838    0.5216
     35.00    0.7914    0.5493
     36.00    0.7989    0.5773
     37.00    0.8060    0.6056
     38.00    0.8127    0.6341
     39.00    0.8190    0.6628
     40.00    0.8247    0.6917
     41.00    0.8298    0.7208
     42.00    0.8343    0.7499
     43.00    0.8381    0.7791
     44.00    0.8412    0.8084
     45.00    0.8435    0.8377
     46.00    0.8451    0.8670
     47.00    0.8459    0.8963
     48.00    0.8459    0.9254
     49.00    0.8450    0.9545
     50.00    0.8433    0.9833
     51.00    0.8408    1.0120
     52.00    0.8374    1.0405
     53.00    0.8331    1.0687
     54.00    0.8280    1.0967
     55.00    0.8220    1.1243
     56.00    0.8151    1.1516
     57.00    0.8074    1.1784
     58.00    0.7987    1.2049
     59.00    0.7893    1.2309
     60.00    0.7789    1.2564
     61.00    0.7677    1.2814
     62.00    0.7556    1.3059
     63.00    0.7427    1.3298
     64.00    0.7290    1.3531
     65.00    0.7144    1.3758
     66.00    0.6991    1.3978
     67.00    0.6829    1.4192
     68.00    0.6659    1.4398
     69.00    0.6482    1.4597
     70.00    0.6297    1.4788
     71.00    0.6105    1.4972
     72.00    0.5905    1.5147
     73.00    0.5699    1.5315
     74.00    0.5486    1.5473
     75.00    0.5266    1.5624
     76.00    0.5040    1.5765
     77.00    0.4807    1.5897
     78.00    0.4569    1.6021
     79.00    0.4325    1.6135
     80.00    0.4076    1.6239
     81.00    0.3822    1.6334
     82.00    0.3563    1.6420
     83.00    0.3299    1.6495
     84.00    0.3031    1.6561
     85.00    0.2759    1.6616
     86.00    0.2484    1.6662
     87.00    0.2205    1.6698
     88.00    0.1923    1.6723
     89.00    0.1638    1.6739
     90.00    0.1351    1.6744
     91.00    0.1062    1.6739
     92.00    0.0772    1.6724
     93.00    0.0480    1.6698
     94.00    0.0187    1.6663
     95.00   -0.0107    1.6618
     96.00   -0.0400    1.6562
     97.00   -0.0694    1.6497
     98.00   -0.0987    1.6421
     99.00   -0.1279    1.6336
    100.00   -0.1570    1.6242
    101.00   -0.1860    1.6137
    102.00   -0.2147    1.6024
    103.00   -0.2432    1.5901
    104.00   -0.2715    1.5768
    105.00   -0.2994    1.5627
    106.00   -0.3270    1.5477
    107.00   -0.3542    1.5319
    108.00   -0.3810    1.5152
    109.00   -0.4073    1.4977
    110.00   -0.4331    1.4793
    111.00   -0.4598    1.4602
    112.00   -0.4846    1.4404
    113.00   -0.5088    1.4198
    114.00   -0.5323    1.3985
    115.00   -0.5552    1.3765
    116.00   -0.5773    1.3539
    117.00   -0.5988    1.3306
    118.00   -0.6195    1.3068
    119.00   -0.6394    1.2824
    120.00   -0.6585    1.2574
    121.00   -0.6768    1.2319
    122.00   -0.6942    1.2060
    123.00   -0.7107    1.1796
    124.00   -0.7262    1.1528
    125.00   -0.7408    1.1256
    126.00   -0.7545    1.0981
    127.00   -0.7672    1.0702
    128.00   -0.7788    1.0421
    129.00   -0.7895    1.0137
    130.00   -0.7991    0.9852
    131.00   -0.8076    0.9564
    132.00   -0.8151    0.9275
    133.00   -0.8214    0.8985
    134.00   -0.8267    0.8694
    135.00   -0.8309    0.8403
    136.00   -0.8339    0.8112
    137.00   -0.8359    0.7821
    138.00   -0.8367    0.7531
    139.00   -0.8363    0.7242
    140.00   -0.8349    0.6954
    141.00   -0.8323    0.6668
    142.00   -0.8286    0.6385
    143.00   -0.8238    0.6103
