AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 02.07.2020 at 17:32:17 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
8.80391        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6111        Cn at stall value for positive angle of attack for linear Cn curve
-0.6811        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0205         Minimum CD value
    158.00   -0.6294    0.2402
    159.00   -0.6101    0.2203
    160.00   -0.5904    0.2012
    161.00   -0.5705    0.1829
    162.00   -0.5506    0.1653
    163.00   -0.5311    0.1486
    164.00   -0.5122    0.1328
    165.00   -0.4946    0.1178
    166.00   -0.4789    0.1037
    167.00   -0.4661    0.0904
    168.00   -0.4577    0.0781
    169.00   -0.4555    0.0668
    170.00   -0.4618    0.0563
    171.00   -0.4786    0.0468
    172.00   -0.5061    0.0383
    173.00   -0.5380    0.0308
    174.00   -0.5571    0.0242
    175.00   -0.5395    0.0187
    176.00   -0.4734    0.0141
    177.00   -0.3698    0.0106
    178.00   -0.2493    0.0080
    179.00   -0.1248    0.0065
    180.00    0.0000    0.0060
    180.00    0.0000    0.0060
