,-1.2217304763960306,-1.1344640137963142,-1.0471975511965976,-0.9599310885968813,-0.8726646259971648,-0.7853981633974483,-0.6981317007977318,-0.6108652381980153,-0.5235987755982988,-0.4363323129985824,-0.3490658503988659,-0.2617993877991494,-0.17453292519943295,-0.08726646259971647,0.0,0.08726646259971647,0.17453292519943295,0.2617993877991494,0.3490658503988659,0.4363323129985824,0.5235987755982988,0.6108652381980153,0.6981317007977318,0.7853981633974483,0.8726646259971648,0.9599310885968813,1.0471975511965976,1.1344640137963142
-3.141592653589793,76.0,73.0,122.0,102.0,98.0,132.0,976.0,265.0,117.0,156.0,181.0,63.0,43.0,98.0,60.0,30.0,36.0,22.0,13.0,23.0,12.0,8.0,19.0,9.0,18.0,13.0,10.0,5.0
-3.0543261909900763,33.0,75.0,111.0,138.0,110.0,120.0,157.0,967.0,287.0,115.0,203.0,127.0,65.0,42.0,31.0,42.0,15.0,15.0,21.0,16.0,10.0,14.0,11.0,13.0,13.0,7.0,16.0,6.0
-2.9670597283903604,28.0,50.0,105.0,126.0,110.0,107.0,155.0,1134.0,96.0,97.0,254.0,127.0,111.0,55.0,47.0,35.0,24.0,9.0,12.0,13.0,6.0,18.0,15.0,7.0,12.0,11.0,7.0,9.0
-2.8797932657906435,32.0,29.0,90.0,115.0,130.0,112.0,101.0,159.0,1254.0,116.0,122.0,131.0,104.0,61.0,47.0,28.0,20.0,11.0,16.0,6.0,18.0,11.0,12.0,18.0,8.0,10.0,10.0,9.0
-2.792526803190927,36.0,34.0,45.0,98.0,113.0,124.0,105.0,177.0,1056.0,328.0,124.0,103.0,128.0,82.0,36.0,30.0,23.0,22.0,14.0,16.0,17.0,11.0,11.0,10.0,8.0,11.0,13.0,5.0
-2.705260340591211,29.0,33.0,53.0,89.0,108.0,118.0,115.0,130.0,591.0,834.0,116.0,137.0,106.0,89.0,46.0,34.0,22.0,17.0,17.0,13.0,9.0,15.0,10.0,16.0,8.0,7.0,11.0,7.0
-2.6179938779914944,31.0,39.0,34.0,75.0,93.0,140.0,112.0,114.0,136.0,1041.0,397.0,105.0,84.0,110.0,66.0,31.0,43.0,18.0,16.0,11.0,10.0,10.0,8.0,7.0,12.0,20.0,14.0,3.0
-2.5307274153917776,32.0,47.0,41.0,48.0,96.0,136.0,113.0,116.0,160.0,204.0,888.0,380.0,73.0,106.0,112.0,52.0,24.0,19.0,19.0,15.0,22.0,14.0,10.0,22.0,10.0,8.0,5.0,8.0
-2.443460952792061,35.0,39.0,45.0,52.0,52.0,90.0,128.0,125.0,108.0,183.0,669.0,608.0,112.0,119.0,111.0,77.0,60.0,25.0,26.0,27.0,15.0,11.0,14.0,10.0,7.0,15.0,14.0,3.0
-2.356194490192345,39.0,24.0,41.0,57.0,47.0,82.0,116.0,107.0,120.0,119.0,235.0,1079.0,124.0,112.0,131.0,78.0,89.0,38.0,28.0,21.0,10.0,14.0,14.0,19.0,15.0,8.0,9.0,4.0
-2.2689280275926285,25.0,41.0,41.0,49.0,44.0,61.0,113.0,124.0,144.0,111.0,122.0,931.0,302.0,166.0,110.0,107.0,95.0,35.0,30.0,24.0,14.0,23.0,14.0,16.0,15.0,8.0,8.0,7.0
